CF-100001,Street cleaning,Waste-Water/Sewage,Low,2024-07-17 11:44:53,Pending
CF-100002,"Meter reading, near hospital",Water Supply,Low,2024-08-19 11:15:23,Resolved
CF-100003,"Sanitation worker, since yesterday",Waste-Water/Sewage,Low,2025-09-13 01:22:27,Resolved
CF-100004,Overflowing gutter,Waste-Water/Sewage,High,2025-11-17 07:36:13,Pending
CF-100005,"Hour-long outage, near park",Electricity,High,2025-12-16 08:58:53,Resolved
CF-100006,Connection shift,Electricity,Low,2025-10-17 07:59:21,Closed
CF-100007,"Collection missed, near school",Waste-Water/Sewage,Low,2024-06-20 18:59:09,In Progress
CF-100008,"Electrical fire, near playground",Electricity,High,2024-09-06 14:37:22,Pending
CF-100009,"Supply query, recurring issue",Water Supply,Low,2024-09-16 08:42:24,In Progress
CF-100010,Transformer failure,Electricity,High,2024-07-30 01:55:48,Pending
CF-100011,"Supply delay, repeated failure",Water Supply,Low,2024-08-21 03:31:19,Pending
CF-100012,Awareness needed,Waste-Water/Sewage,Low,2024-04-06 10:15:03,Pending
CF-100013,"Drainage query, near hospital",Waste-Water/Sewage,Low,2025-09-02 20:02:49,Resolved
CF-100014,"Overflowing gutter, in the neighborhood",Waste-Water/Sewage,High,2025-01-16 06:09:48,In Progress
CF-100015,"Electric pole dangerous, in crowded area",Electricity,High,2025-11-26 22:38:56,In Progress
CF-100016,Meter installation,Water Supply,Low,2024-07-14 00:06:10,Pending
CF-100017,"Zero power, past month, hazardous condition",Electricity,High,2025-12-29 00:51:15,Resolved
CF-100018,"Transformer failure, since yesterday",Electricity,High,2025-07-16 23:38:51,In Progress
CF-100019,"Spark explosion, near hospital",Electricity,High,2025-02-03 00:19:02,Pending
CF-100020,"Continuous outages, near park",Electricity,High,2024-08-15 09:52:48,Resolved
CF-100021,Billing clarification,Electricity,Low,2024-09-21 05:35:34,Closed
CF-100022,"Spark explosion, near park",Electricity,High,2025-01-18 03:44:46,Pending
